Gravity = 9.81
Launch angle = 45.0
Launch velocity = 50.0
Launch height = 12.0
-----------------------------------------------------------------------
X = 0.0        Y = 12.0
X = 3.54        Y = 15.49
X = 7.07        Y = 18.87
X = 10.61        Y = 22.17
X = 14.14        Y = 25.36
X = 17.68        Y = 28.45
X = 21.21        Y = 31.45
X = 24.75        Y = 34.35
X = 28.28        Y = 37.15
X = 31.82        Y = 39.85
X = 35.36        Y = 42.45
X = 38.89        Y = 44.96
X = 42.43        Y = 47.36
X = 45.96        Y = 49.67
X = 49.5        Y = 51.88
X = 53.03        Y = 54.0
X = 56.57        Y = 56.01
X = 60.1        Y = 57.93
X = 63.64        Y = 59.75
X = 67.18        Y = 61.47
X = 70.71        Y = 63.09
X = 74.25        Y = 64.62
X = 77.78        Y = 66.04
X = 81.32        Y = 67.37
X = 84.85        Y = 68.6
X = 88.39        Y = 69.73
X = 91.92        Y = 70.77
X = 95.46        Y = 71.7
X = 98.99        Y = 72.54
X = 102.53        Y = 73.28
X = 106.07        Y = 73.92
X = 109.6        Y = 74.46
X = 113.14        Y = 74.91
X = 116.67        Y = 75.26
X = 120.21        Y = 75.51
X = 123.74        Y = 75.66
X = 127.28        Y = 75.71
X = 130.81        Y = 75.67
X = 134.35        Y = 75.52
X = 137.89        Y = 75.28
X = 141.42        Y = 74.94
X = 144.96        Y = 74.5
X = 148.49        Y = 73.97
X = 152.03        Y = 73.33
X = 155.56        Y = 72.6
X = 159.1        Y = 71.77
X = 162.63        Y = 70.84
X = 166.17        Y = 69.82
X = 169.71        Y = 68.69
X = 173.24        Y = 67.47
X = 176.78        Y = 66.15
X = 180.31        Y = 64.73
X = 183.85        Y = 63.22
X = 187.38        Y = 61.6
X = 190.92        Y = 59.89
X = 194.45        Y = 58.08
X = 197.99        Y = 56.17
X = 201.53        Y = 54.16
X = 205.06        Y = 52.06
X = 208.6        Y = 49.85
X = 212.13        Y = 47.55
X = 215.67        Y = 45.15
X = 219.2        Y = 42.65
X = 222.74        Y = 40.06
X = 226.27        Y = 37.37
X = 229.81        Y = 34.57
X = 233.35        Y = 31.68
X = 236.88        Y = 28.7
X = 240.42        Y = 25.61
X = 243.95        Y = 22.42
X = 247.49        Y = 19.14
X = 251.02        Y = 15.76
X = 254.56        Y = 12.28
X = 258.09        Y = 8.71
X = 261.63        Y = 5.03
X = 265.17        Y = 1.26
X = 266.32        Y = 0.0
-----------------------------------------------------------------------
Distance of Between Bullet and Cannon is 266.32
Air Time is  7.53
Maximum Height of the Bullet is  63.71
Last Velocity of the Bullet is  61.24
